player_name,year,current_SLG,proj_next_SLG,delta_proj_minus_current
672359,2025,0.071,0.43204991070476895,0.36104991070476894
656185,2025,0.0,0.3249302460682119,0.3249302460682119
671976,2025,0.0,0.3075071199884678,0.3075071199884678
668723,2025,0.077,0.3722080559031772,0.29520805590317717
805811,2025,0.179,0.46196615663930163,0.28296615663930164
605113,2025,0.0,0.24632385384721572,0.24632385384721572
678225,2025,0.05,0.2916323071040976,0.2416323071040976
670032,2025,0.042,0.2602895265712536,0.21828952657125358
669134,2025,0.0,0.2176065705864975,0.2176065705864975
676070,2025,0.121,0.3309236058532506,0.2099236058532506
669004,2025,0.167,0.3748732923875468,0.2078732923875468
677943,2025,0.1,0.30583677058133174,0.20583677058133173
671083,2025,0.103,0.3015442845692204,0.1985442845692204
694359,2025,0.1,0.2981449963254045,0.19814499632540447
690291,2025,0.106,0.30215104643227303,0.19615104643227305
677870,2025,0.172,0.3665696694069426,0.1945696694069426
668952,2025,0.105,0.2978268632716587,0.1928268632716587
674441,2025,0.083,0.2751293490451175,0.19212934904511747
668731,2025,0.176,0.3613069557792576,0.1853069557792576
686823,2025,0.091,0.27020478037925816,0.17920478037925816
668974,2025,0.073,0.24892187675631414,0.17592187675631415
683021,2025,0.182,0.35338500645074394,0.17138500645074395
676116,2025,0.17,0.33561931804303374,0.16561931804303373
699625,2025,0.244,0.40717145400783555,0.16317145400783556
687478,2025,0.167,0.3286480531821637,0.16164805318216371
663584,2025,0.194,0.3501919909591974,0.1561919909591974
642350,2025,0.125,0.2758285364484526,0.15082853644845262
669256,2025,0.091,0.23838673197936305,0.14738673197936306
663731,2025,0.167,0.31188213818558996,0.14488213818558995
663536,2025,0.136,0.2804837989658305,0.14448379896583047
641645,2025,0.15,0.2930697309690099,0.1430697309690099
676701,2025,0.225,0.3677237060185505,0.14272370601855047
663796,2025,0.2,0.3386492073059334,0.1386492073059334
683770,2025,0.143,0.27898173701694934,0.13598173701694935
669398,2025,0.25,0.38231094251642544,0.13231094251642544
641856,2025,0.25,0.38164603984563183,0.13164603984563183
681962,2025,0.177,0.30830357923057194,0.13130357923057195
689200,2025,0.186,0.3163685262835761,0.1303685262835761
678011,2025,0.21,0.3364246660785338,0.12642466607853378
493329,2025,0.139,0.2610851463403526,0.12208514634035261
660757,2025,0.237,0.35872190398308185,0.12172190398308186
680769,2025,0.176,0.296689720064418,0.12068972006441803
650559,2025,0.213,0.33338879513911385,0.12038879513911385
663837,2025,0.307,0.42353566873812637,0.11653566873812637
680577,2025,0.179,0.29458055705821584,0.11558055705821585
676812,2025,0.172,0.2870561744773191,0.11505617447731914
682183,2025,0.118,0.2311968571963492,0.1131968571963492
687529,2025,0.182,0.29279627776327344,0.11079627776327344
543592,2025,0.211,0.32164154507466314,0.11064154507466314
663662,2025,0.293,0.40305047756805135,0.11005047756805136
681508,2025,0.232,0.34164902232105976,0.10964902232105975
680779,2025,0.278,0.3867398185119801,0.10873981851198006
682848,2025,0.25,0.3583900932210749,0.1083900932210749
696030,2025,0.278,0.38358466583889594,0.10558466583889592
663609,2025,0.324,0.42847266658860184,0.10447266658860183
677592,2025,0.246,0.3502345192506531,0.10423451925065308
592669,2025,0.242,0.34606543799669287,0.10406543799669288
624415,2025,0.246,0.34981993646546744,0.10381993646546744
681146,2025,0.188,0.290922627648832,0.10292262764883198
641658,2025,0.169,0.27184002701284943,0.10284002701284942
668845,2025,0.219,0.3162110933585171,0.0972110933585171
676439,2025,0.205,0.3013527308979437,0.09635273089794369
676679,2025,0.24,0.3358559812679012,0.09585598126790124
672284,2025,0.3,0.3957718126631346,0.09577181266313461
701675,2025,0.25,0.34453088926159847,0.09453088926159847
678489,2025,0.225,0.3189864122151874,0.09398641221518741
678391,2025,0.25,0.34251235047702594,0.09251235047702594
670092,2025,0.268,0.3598806912559156,0.09188069125591558
677956,2025,0.279,0.370214733028967,0.09121473302896699
664068,2025,0.185,0.2761918540600462,0.0911918540600462
622569,2025,0.226,0.3167141405728174,0.09071414057281738
669261,2025,0.253,0.34344685495470123,0.09044685495470123
691728,2025,0.235,0.3254411857321431,0.0904411857321431
663897,2025,0.194,0.28391647629391964,0.08991647629391963
664774,2025,0.254,0.3438398035280783,0.0898398035280783
694376,2025,0.219,0.3080313651340909,0.0890313651340909
